category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-industry-pattern	array_ptr_single_elem_init-1.yml	True	TIMEOUT	301.266639539	914.817024	TIMEOUT	301.421688805	3898.441728	TIMEOUT	301.692152466	3916.148736	TIMEOUT	302.772023379	4017.451008
ReachSafety-Arrays	array-industry-pattern	array_ptr_single_elem_init-2.yml	False	TIMEOUT	301.226608637	577.163264	TIMEOUT	301.352738679	2426.662912	TIMEOUT	301.512007549	2227.89632	TIMEOUT	302.330896351	2325.03296
ReachSafety-Arrays	array-industry-pattern	array_range_init.yml	False	TIMEOUT	301.476281683	1904.31232	TIMEOUT	301.272713688	1989.4272	TIMEOUT	301.334988597	1989.85728	TIMEOUT	302.093413591	2044.919808
ReachSafety-Arrays	array-industry-pattern	array_shadowinit.yml	True	TIMEOUT	300.96357181	37.609472	TIMEOUT	301.005471779	37.351424	TIMEOUT	300.930223839	37.588992	TIMEOUT	301.057348642	38.100992
ReachSafety-Arrays	array-industry-pattern	array_single_elem_init.yml	False	TIMEOUT	301.012355591	576.319488	TIMEOUT	301.290867156	2426.61376	TIMEOUT	301.413187225	2227.810304	TIMEOUT	301.609756474	2325.209088
ReachSafety-Arrays	array-industry-pattern	check_removal_from_set_after_insertion.yml	False	TIMEOUT	301.33454302	974.88896	TIMEOUT	301.185687145	972.058624	TIMEOUT	301.307892512	897.646592	TIMEOUT	301.307274599	906.989568
ReachSafety-Arrays	reducercommutativity	avg05-1.yml	True	true	80.267051646	86.990848	true	78.903445401	88.203264	true	77.188169918	83.771392	true	79.656243461	85.05344
ReachSafety-Arrays	reducercommutativity	avg10-2.yml	True	TIMEOUT	301.032978595	131.493888	TIMEOUT	300.949470704	132.390912	TIMEOUT	300.781631349	132.325376	TIMEOUT	300.993522162	127.041536
ReachSafety-Arrays	reducercommutativity	avg20-2.yml	True	TIMEOUT	301.005009225	151.7568	TIMEOUT	301.023538221	157.671424	TIMEOUT	300.974260113	154.140672	TIMEOUT	301.018802426	153.788416
ReachSafety-Arrays	reducercommutativity	avg40-2.yml	True	TIMEOUT	301.021100981	174.276608	TIMEOUT	301.015252654	163.20512	TIMEOUT	301.013966778	173.010944	TIMEOUT	300.93906081	158.12608
ReachSafety-Arrays	reducercommutativity	avg60-1.yml	True	TIMEOUT	301.031060285	218.148864	TIMEOUT	301.006365762	226.811904	TIMEOUT	300.964023966	226.79552	TIMEOUT	300.56495964	232.12032
ReachSafety-Arrays	reducercommutativity	max.yml	True	TIMEOUT	301.006178876	74.571776	TIMEOUT	300.979804391	74.97728	TIMEOUT	301.130061238	74.010624	TIMEOUT	300.98510045	75.005952
ReachSafety-Arrays	reducercommutativity	max05-1.yml	True	true	1.624524576	35.221504	true	1.57567952	35.323904	true	1.599061069	35.332096	true	1.699801377	36.12672
ReachSafety-Arrays	reducercommutativity	max10-1.yml	True	true	41.357201633	53.51424	true	41.133314292	53.653504	true	42.896073725	53.665792	true	42.042498423	53.387264
ReachSafety-Arrays	reducercommutativity	max20-1.yml	True	TIMEOUT	301.018217464	94.650368	TIMEOUT	301.009985154	92.61056	TIMEOUT	301.051720563	92.131328	TIMEOUT	301.004468439	95.813632
ReachSafety-Arrays	reducercommutativity	max40-1.yml	True	TIMEOUT	301.002388855	131.85024	TIMEOUT	301.035040187	132.018176	TIMEOUT	301.045157688	131.903488	TIMEOUT	301.185626289	133.390336
ReachSafety-Arrays	reducercommutativity	max60-2.yml	True	TIMEOUT	301.03786637	180.932608	TIMEOUT	301.017977537	185.540608	TIMEOUT	301.107469088	188.735488	TIMEOUT	300.972549806	195.923968
