category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-crafted	zero_sum_const_m4.yml	True	TIMEOUT	120.806351474	83.943424	TIMEOUT	120.559255963	83.968	TIMEOUT	120.735084761	83.836928	TIMEOUT	120.993631132	88.86272
ReachSafety-Arrays	array-crafted	zero_sum_const_m5.yml	True	TIMEOUT	120.884037278	88.45312	TIMEOUT	120.654971512	87.2448	TIMEOUT	121.211716415	92.737536	TIMEOUT	121.03156976	94.052352
ReachSafety-Arrays	array-crafted	zero_sum_m2.yml	True	TIMEOUT	120.968496826	59.088896	TIMEOUT	120.138457088	58.585088	TIMEOUT	121.146173155	56.844288	TIMEOUT	121.055766404	65.503232
ReachSafety-Arrays	array-crafted	zero_sum_m3.yml	True	TIMEOUT	120.915525414	66.8672	TIMEOUT	120.911616987	65.552384	TIMEOUT	121.121088943	65.708032	TIMEOUT	121.021500075	67.76832
ReachSafety-Arrays	array-crafted	zero_sum_m4.yml	True	TIMEOUT	120.85828742	65.994752	TIMEOUT	120.816238404	66.240512	TIMEOUT	120.959776832	65.982464	TIMEOUT	121.028447196	69.632
ReachSafety-Arrays	array-crafted	zero_sum_m5.yml	True	TIMEOUT	120.878120521	68.435968	TIMEOUT	120.996740906	74.4448	TIMEOUT	120.865145958	70.393856	TIMEOUT	121.0622934	71.016448
ReachSafety-Arrays	array-multidimensional	copy-partial-3-u.yml	True	TIMEOUT	120.651693251	132.632576	TIMEOUT	120.881575023	132.534272	TIMEOUT	120.87572109	127.13984	TIMEOUT	121.117658666	134.828032
ReachSafety-Arrays	array-multidimensional	transpose-u.yml	True	TIMEOUT	120.224388728	169.34912	TIMEOUT	120.183477152	172.453888	TIMEOUT	120.825277087	168.40704	TIMEOUT	121.145978536	173.985792
ReachSafety-Arrays	array-patterns	array10_pattern.yml	True	TIMEOUT	120.887499258	60.12928	TIMEOUT	120.26204636	56.958976	TIMEOUT	120.569559441	58.208256	TIMEOUT	121.032433072	58.53184
ReachSafety-Arrays	array-patterns	array11_pattern.yml	True	TIMEOUT	120.703107015	58.564608	TIMEOUT	120.854338925	57.9584	TIMEOUT	121.009234094	58.236928	TIMEOUT	121.04699869	59.092992
ReachSafety-Arrays	array-patterns	array12_pattern.yml	True	TIMEOUT	120.929058078	70.529024	TIMEOUT	121.009681093	71.176192	TIMEOUT	121.239548964	71.200768	TIMEOUT	121.09220987	71.237632
ReachSafety-Arrays	array-patterns	array13_pattern.yml	True	TIMEOUT	120.905753167	76.468224	TIMEOUT	120.947945429	80.71168	TIMEOUT	120.950436121	76.496896	TIMEOUT	121.086201288	78.946304
ReachSafety-Arrays	array-patterns	array14_pattern.yml	True	TIMEOUT	120.869571402	77.942784	TIMEOUT	120.993630978	79.507456	TIMEOUT	120.807595447	78.831616	TIMEOUT	120.996498119	82.427904
